"position","game_title"
"1","The Legend of Zelda: Ocarina of Time"
"2","Tony Hawk's Pro Skater 2"
"3","Grand Theft Auto IV"
"4","SoulCalibur"
"5","Super Mario Galaxy"
"6","Super Mario Galaxy 2"
"7","Red Dead Redemption 2"
"8","Grand Theft Auto V"
"9","The Legend of Zelda: Breath of the Wild"
"10","Tony Hawk's Pro Skater 3"
"11","Perfect Dark"
"12","Metroid Prime"
"13","Grand Theft Auto III"
"14","Super Mario Odyssey"
"15","Halo: Combat Evolved"
"16","NFL 2K1"
"17","Half-Life 2"
"18","BioShock"
"19","GoldenEye 007"
"20","Uncharted 2: Among Thieves"
"21","Resident Evil 4"
"22","The Orange Box"
"23","Batman: Arkham City"
"24","Tekken 3"
"25","Mass Effect 2"
"26","The Legend of Zelda: Twilight Princess"
"27","The Elder Scrolls V: Skyrim"
"28","Half-Life"
"29","The Legend of Zelda: The Wind Waker"
"30","Gran Turismo"
"31","Metal Gear Solid 2: Sons of Liberty"
"32","Grand Theft Auto Double Pack"
"33","Baldur's Gate II: Shadows of Amn"
"34","Grand Theft Auto: San Andreas"
"35","Grand Theft Auto: Vice City"
"36","LittleBigPlanet"
"37","The Legend of Zelda Collector's Edition"
"38","Red Dead Redemption"
"39","Gran Turismo 3: A-Spec"
"40","Halo 2"
"41","The Legend of Zelda: A Link to the Past"
"42","The Legend of Zelda: Majora's Mask"
"43","The Last of Us"
"44","Madden NFL 2003"
"45","Persona 5 Royal"
"46","The Last of Us Remastered"
"47","Portal 2"
"48","Metal Gear Solid V: The Phantom Pain"
"49","World of Goo"
"50","BioShock Infinite"
"51","Final Fantasy IX"
"52","Call of Duty: Modern Warfare 2"
"53","God of War"
"54","Tony Hawk's Pro Skater 4"
"55","Devil May Cry"
"56","Call of Duty 4: Modern Warfare"
"57","Madden NFL 2002"
"58","The Legend of Zelda: Ocarina of Time 3D"
"59","Chrono Cross"
"60","Celeste"
"61","Madden NFL 2004"
"62","Gears of War"
"63","The Elder Scrolls IV: Oblivion"
"64","Sid Meier's Civilization II"
"65","Quake"
"66","Halo 3"
"67","Ninja Gaiden Black"
"68","Street Fighter IV"
"69","Super Mario Advance 4: Super Mario Bros. 3"
"70","Jet Grind Radio"
"71","Metal Gear Solid"
"72","Grim Fandango"
"73","Tom Clancy's Splinter Cell Chaos Theory"
"74","Burnout 3: Takedown"
"75","Diablo"
