"position","game_title"
"15","Dark Souls III"
"14","Shovel Knight"
"13","Overwatch"
"12","The Last of Us"
"11","Minecraft"
"10","Grand Theft Auto V"
"9","World of Warcraft"
"8","The Legend of Zelda: Breath of the Wild"
"7","Portal 2"
"6","Pokémon Red and Blue"
"5","Wii Sports"
"4","Street Fighter II"
"3","Tetris"
"2","Super Mario World"
"1","The Legend of Zelda: Ocarina of Time"
