"position","game_title"
"1","Minecraft"
"2","The Legend of Zelda: Ocarina of Time"
"3","Super Smash Bros. Brawl"
"4","The Elder Scrolls V: Skyrim"
"5","Grand Theft Auto V"
"6","Super Mario 64"
"7","Super Smash Bros. Ultimate"
"8","Super Mario Galaxy"
"9","Red Dead Redemption"
"10","The Legend of Zelda: Majora's Mask"
