"position","game_title","key","cited"
"151","Dota 2","dota2","4","['ign-2019', 'opencrict-2020', 'popular-mechanics', 'time-magazine']"
"151","Call of Duty 4: Modern Warfare","callofduty4modernwarfare","4","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'popular-mechanics']"
"146","Angry Birds","angrybirds","2","['game-designing', 'time-magazine']"
"145","Portal","portal","2","['ign-2019', 'slant-magazine']"
"144","SimCity 2000","simcity2000","3","['ign-2019', 'popular-mechanics', 'time-magazine']"
"141","Half-Life","halflife","2","['ign-2019', 'metacrict-2020']"
"141","Disco Elysium","discoelysium","2","['opencrict-2020', 'slant-magazine']"
"141","Pokemon Red & Blue","pokemonredblue","2","['popular-mechanics', 'time-magazine']"
"140","EarthBound","earthbound","2","['ign-2019', 'slant-magazine']"
"139","The Orange Box","theorangebox","2","['metacrict-2020', 'metacrict-2020']"
"139","Resident Evil 2","residentevil2","2","['opencrict-2020', 'popular-mechanics']"
"138","Wii Sports","wiisports","2","['game-designing', 'popular-mechanics']"
"137","Super Mario Galaxy 2","supermariogalaxy2","2","['metacrict-2020', 'slant-magazine']"
"136","Halo 2","halo2","2","['ign-2019', 'metacrict-2020']"
"135","Persona 5 Royal","persona5royal","2","['metacrict-2020', 'opencrict-2020']"
"135","The Last of Us Remastered","thelastofusremastered","2","['metacrict-2020', 'opencrict-2020']"
"134","Undertale","undertale","3","['ign-2019', 'opencrict-2020', 'popular-mechanics']"
"132","Silent Hill 2","silenthill2","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
"132","Overwatch","overwatch","3","['ign-2019', 'opencrict-2020', 'popular-mechanics']"
"131","Star Wars: Knights of the Old Republic","starwarsknightsoftheoldrepublic","2","['ign-2019', 'popular-mechanics']"
"127","Rise of the Tomb Raider","riseofthetombraider","2","['ign-2019', 'time-magazine']"
"126","Tekken 3","tekken3","2","['metacrict-2020', 'popular-mechanics']"
"125","The Elder Scrolls V: Skyrim","theelderscrollsvskyrim","3","['ign-2019', 'metacrict-2020', 'metacrict-2020']"
"124","Donkey Kong","donkeykong","3","['ign-2019', 'popular-mechanics', 'time-magazine']"
"123","Inside","inside","3","['ign-2019', 'opencrict-2020', 'slant-magazine']"
"123","Nier: Automata","nierautomata","2","['opencrict-2020', 'slant-magazine']"
"123","Super Smash Bros. Melee","supersmashbrosmelee","2","['popular-mechanics', 'slant-magazine']"
"120","Gran Turismo 3: A-Spec","granturismo3aspec","3","['metacrict-2020', 'popular-mechanics', 'time-magazine']"
"116","Metal Gear Solid V: The Phantom Pain","metalgearsolidvthephantompain","2","['metacrict-2020', 'opencrict-2020']"
"116","Fallout 3","fallout3","2","['popular-mechanics', 'time-magazine']"
"114","Persona 5","persona5","2","['ign-2019', 'opencrict-2020']"
"110","The Legend of Zelda: Twilight Princess","thelegendofzeldatwilightprincess","2","['metacrict-2020', 'metacrict-2020']"
"109","Grand Theft Auto: San Andreas","grandtheftautosanandreas","3","['ign-2019', 'metacrict-2020', 'slant-magazine']"
"109","The Legend of Zelda: The Wind Waker","thelegendofzeldathewindwaker","2","['metacrict-2020', 'slant-magazine']"
"108","Soulcalibur","soulcalibur","2","['ign-2019', 'metacrict-2020']"
"108","Baldur's Gate II: Shadows of Amn","baldursgateiishadowsofamn","2","['ign-2019', 'metacrict-2020']"
"106","Myst","myst","3","['popular-mechanics', 'slant-magazine', 'time-magazine']"
"102","Mario Kart 8 Deluxe","mariokart8deluxe","2","['ign-2019', 'opencrict-2020']"
"100","Braid","braid","2","['slant-magazine', 'time-magazine']"
"99","Quake","quake","2","['metacrict-2020', 'time-magazine']"
"99","Legend of Zelda: A Link to the Past","legendofzeldaalinktothepast","1","['popular-mechanics']"
"99","Galaga","galaga","2","['slant-magazine', 'time-magazine']"
"99","The Legend of Zelda: Majoraï¿½s Mask","thelegendofzeldamajoraï½smask","1","['slant-magazine']"
"98","Spelunky","spelunky","2","['ign-2019', 'slant-magazine']"
"97","WoW","wow","1","['game-designing']"
"96","Grand Theft Auto","grandtheftauto","1","['game-designing']"
"94","Super Mario Galaxy","supermariogalaxy","1","['metacrict-2020']"
"93","Call of Duty","callofduty","1","['game-designing']"
"93","Grand Theft Auto: Vice City","grandtheftautovicecity","3","['ign-2019', 'metacrict-2020', 'metacrict-2020']"
"92","Final Fantasy","finalfantasy","1","['game-designing']"
"91","Halo","halo","1","['game-designing']"
"91","Divinity: Original Sin 2","divinityoriginalsin2","2","['ign-2019', 'opencrict-2020']"
"91","Hades","hades","1","['opencrict-2020']"
"91"," The Oregon Trail","theoregontrail","1","['time-magazine']"
